"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"菜品名称",4,"就餐类型",NA
"3",13,"咖喱鸡块饭",2,"午餐","2015-08-10"
"4",14,"黑椒猪排饭",2,"午餐","2015-08-07"
"5",15,"红烧牛肉面",2,"晚餐","2015-08-04"
"6",16,"番茄牛肉饭",2,"午餐","2015-06-26"
"7",17,"黑椒猪排饭",2,"午餐","2015-06-24"
"8",18,"番茄牛肉饭",2,"午餐","2015-06-16"
"9",19,"黑椒猪排饭",2,"午餐","2015-06-05"
"10",20,"清汤牛肉面",2,"午餐","2015-06-02"
"11",21,"优酸乳(袋)",2,"晚餐","2015-05-27"
"12",22,"香菇肉片(套)",2,"午餐","2015-05-21"
"13",23,"优酸乳(袋)",2,"午餐","2015-05-14"
"14",24,"绿豆小米粥",2,"晚餐","2015-05-06"
"15",25,"苜蓿肉(套)",2,"午餐","2015-05-06"
"16",26,"黑椒猪排饭",2,"午餐","2015-05-06"
"17",27,"优酸乳(袋)",2,"晚餐","2015-04-28"
"18",28,"黑米粥",2,"晚餐","2015-04-28"
"19",29,"蛋挞",2,"晚餐","2015-04-28"
"20",30,"黑米粥",2,"晚餐","2015-04-27"
"21",31,"黑椒猪排饭",2,"午餐","2015-04-17"
"22",32,"黄焖鸡米饭",2,"午餐","2015-04-16"
"23",33,"优酸乳(袋)",2,"晚餐","2015-04-14"
"24",34,"黑椒猪排饭",2,"晚餐","2015-04-14"
"25",35,"热干面",2,"午餐","2015-04-13"
"26",36,"黑椒猪排饭",2,"午餐","2015-04-13"
"27",37,"黑椒猪排饭",2,"晚餐","2015-04-03"
"28",38,"黑椒猪排饭",2,"午餐","2015-04-03"
"29",39,"老干妈肉丁炒米",2,"午餐","2015-04-03"
"30",40,"黑椒猪排饭",2,"晚餐","2015-04-02"
"31",41,"黑椒猪排饭",2,"午餐","2015-04-02"
"32",42,"过油肉(套)",2,"午餐","2015-03-31"
"33",43,"大米(小)",2,"午餐","2015-03-31"
"34",44,"土豆丝(套)",2,"午餐","2015-03-31"
"35",45,"糖醋里脊(套)",2,"午餐","2015-03-31"
"36",46,"热饮",2,"晚餐","2015-03-27"
"37",47,"黑椒猪排饭",3,"晚餐","2015-03-27"
"38",48,"红豆蛋糕",2,"午餐","2015-03-23"
"39",49,"巧克力蛋糕",2,"午餐","2015-03-23"
"40",50,"热饮",3,"晚餐","2015-03-19"
"41",51,"绿豆小米粥",2,"晚餐","2015-03-19"
"42",52,"绿豆小米粥",2,"晚餐","2015-03-19"
"43",53,"香菇肉片(套)",2,"晚餐","2015-03-19"
"44",54,"大米",2,"晚餐","2015-03-19"
"45",55,"优酸乳(袋)",2,"午餐","2015-03-18"
"46",56,"优酸乳(袋)",2,"午餐","2015-03-17"
"47",57,"大米(小)",2,"午餐","2015-03-17"
"48",58,"糖醋里脊(套)",2,"午餐","2015-03-17"
"49",59,"酸辣鸭血(套)",2,"午餐","2015-03-17"
"50",60,"大肉串",2,"午餐","2015-03-16"
"51",61,"黄酱面",2,"午餐","2015-03-16"
"52",62,"牛肉烩饼",2,"晚餐","2015-03-13"
"53",63,"优酸乳(袋)",2,"午餐","2015-03-11"
"54",64,"酸辣鸭血(套)",2,"午餐","2015-03-11"
"55",65,"大米(小)",2,"午餐","2015-03-11"
"56",66,"糖醋里脊(套)",2,"午餐","2015-03-11"
"57",67,"优酸乳(袋)",2,"午餐","2015-03-10"
"58",68,"肉酱面",2,"午餐","2015-03-10"
"59",69,"炸酱面",2,"午餐","2015-03-09"
"60",70,"优酸乳(盒)",2,"午餐","2015-02-05"
"61",71,"炸小馒头(3个)",2,"早餐","2015-02-04"
"62",72,"卤鸡蛋",2,"早餐","2015-02-04"
"63",73,"牛肉烩饼",2,"午餐","2015-02-02"
"64",74,"牛肉烩饼",2,"午餐","2015-01-29"
"65",75,"优酸乳(盒)",2,"晚餐","2015-01-26"
"66",76,"素打卤面",2,"午餐","2015-01-21"
"67",77,"叉烧肉炒饭",2,"午餐","2015-01-09"
"68",78,"牛肉烩饼",3,"午餐","2015-01-08"
"69",79,"叉烧肉炒饭",2,"晚餐","2015-01-07"
"70",80,"优酸乳(盒)",2,"晚餐","2015-01-07"
"71",81,"优酸乳(袋)",2,"晚餐","2015-01-06"
"72",82,"牛肉烩饼",3,"晚餐","2015-01-05"
"73",83,"牛肉烩饼",2,"晚餐","2015-01-04"
"74",84,"优酸乳(袋)",2,"晚餐","2015-01-04"
"75",85,"优酸乳(袋)",2,"晚餐","2015-01-04"
"76",86,"优酸乳(袋)",2,"晚餐","2014-12-18"
"77",87,"肉串",5,"晚餐","2014-12-18"
"78",88,"优酸乳(袋)",2,"晚餐","2014-12-17"
"79",89,"肉香热干面",2,"晚餐","2014-12-17"
"80",90,"肉香热干面",2,"晚餐","2014-12-17"
"81",91,"叉烧肉炒饭",2,"午餐","2014-12-11"
"82",92,"砂锅炖菜（套）",2,"晚餐","2014-12-10"
"83",93,"鸡肉火腿肠",2,"午餐","2014-12-09"
"84",94,"大肉串",2,"午餐","2014-12-01"
"85",95,"优酸乳(袋)",2,"午餐","2014-12-01"
"86",96,"优酸乳(袋)",2,"晚餐","2014-11-28"
"87",97,"皮蛋瘦肉粥",2,"晚餐","2014-11-26"
"88",98,"夹肉饼",2,"晚餐","2014-11-26"
"89",99,"黄焖鸡面",2,"午餐","2014-11-25"
"90",100,"红烧茄子(套)",2,"午餐","2014-11-11"
"91",101,"优酸乳(袋)",2,"午餐","2014-11-07"
"92",102,"黄焖鸡面",3,"午餐","2014-11-07"
"93",103,"卤鸡蛋",2,"午餐","2014-11-06"
"94",104,"毛血旺面",2,"午餐","2014-11-06"
"95",105,"土豆牛肉（套）",2,"午餐","2014-10-31"
"96",106,"土豆鸡块(套)",2,"午餐","2014-10-31"
"97",107,"大米",2,"午餐","2014-10-31"
"98",108,"鸡肉火腿肠",2,"午餐","2014-10-28"
"99",109,"优酸乳(袋)",2,"午餐","2014-10-28"
"100",110,"炸酱面",2,"午餐","2014-10-28"
"101",111,"红烧牛肉面",2,"午餐","2014-10-27"
"102",112,"花干(串)",2,"午餐","2014-10-27"
"103",113,"蘑菇饼",2,"午餐","2014-10-27"
"104",114,"热饮",2,"午餐","2014-10-25"
"105",115,"烤肠",2,"晚餐","2014-10-24"
"106",116,"鸡肉火腿肠",2,"晚餐","2014-10-24"
"107",117,"炒馒头",2,"晚餐","2014-10-24"
"108",118,"麻圆",2,"午餐","2014-10-24"
"109",119,"清汤牛肉面",2,"午餐","2014-10-24"
"110",120,"干锅土豆片(套)",2,"午餐","2014-10-23"
"111",121,"大米(小)",2,"午餐","2014-10-23"
"112",122,"尖椒肉丝(套)",2,"午餐","2014-10-23"
"113",123,"酸辣鸭血(套)",2,"午餐","2014-10-23"
"114",124,"豆角肉丝(套)",2,"午餐","2014-10-20"
"115",125,"菜花炒肉(套)",2,"午餐","2014-10-20"
"116",126,"大米(小)",2,"午餐","2014-10-20"
"117",127,"荷叶饼",3,"早餐","2014-10-17"
"118",128,"豆浆",2,"早餐","2014-10-16"
"119",129,"肉包子",2,"早餐","2014-10-16"
"120",130,"火腿卷",2,"早餐","2014-10-16"
"121",131,"大米(小)",2,"午餐","2014-10-15"
"122",132,"西红柿炒鸡蛋(套)",2,"午餐","2014-10-15"
"123",133,"腐竹烧肉(套)",2,"午餐","2014-10-15"
"124",134,"酸辣鸭血(套)",2,"午餐","2014-10-15"
"125",135,"豆浆",2,"早餐","2014-10-15"
"126",136,"肉包子",2,"早餐","2014-10-15"
"127",137,"优酸乳(袋)",2,"晚餐","2014-10-14"
"128",138,"烤肠",2,"晚餐","2014-10-14"
"129",139,"鸡肉火腿肠",2,"晚餐","2014-10-14"
"130",140,"炸酱面",2,"晚餐","2014-10-14"
"131",141,"水饺",2,"晚餐","2014-10-14"
"132",142,"优酸乳(袋)",2,"午餐","2014-10-14"
"133",143,"面筋卷",2,"午餐","2014-10-14"
"134",144,"清汤牛肉面",2,"午餐","2014-10-14"
"135",145,"营养套餐",2,"早餐","2014-10-14"
"136",146,"清汤牛肉面",2,"午餐","2014-10-09"
"137",147,"红烧牛肉面",2,"午餐","2014-09-26"
"138",148,"清汤牛肉面",2,"午餐","2014-09-26"
"139",149,"豆浆",2,"早餐","2014-09-24"
"140",150,"肉包子",2,"早餐","2014-09-24"
"141",151,"热饮",3,"晚餐","2014-09-22"
"142",152,"清汤牛肉面",2,"晚餐","2014-09-22"
"143",153,"优酸乳(袋)",2,"午餐","2014-09-19"
"144",154,"糖醋里脊(套)",2,"午餐","2014-09-19"
"145",155,"红烧土豆片(套)",2,"午餐","2014-09-19"
"146",156,"土豆鸡块(套)",2,"午餐","2014-09-19"
"147",157,"大米",2,"午餐","2014-09-19"
"148",158,"优酸乳(袋)",2,"早餐","2014-09-12"
"149",159,"羊肉汤/送花卷",2,"早餐","2014-09-12"
"150",160,"大米(小)",2,"晚餐","2014-09-11"
"151",161,"香菇肉片(套)",2,"晚餐","2014-09-11"
"152",162,"宫保鸡丁(套)",2,"晚餐","2014-09-11"
"153",163,"优酸乳(袋)",2,"晚餐","2014-09-05"
"154",164,"优酸乳(袋)",2,"午餐","2014-09-05"
"155",165,"清汤牛肉面",2,"午餐","2014-09-05"
