"","Dine","Share","Type","Date"
"1","西红柿鸡蛋面",2,"晚餐","2015-06-18"
"2","西红柿鸡蛋面",2,"晚餐","2015-06-16"
"3","大米(小)",2,"午餐","2015-06-10"
"4","西红柿炒鸡蛋(套)",2,"午餐","2015-06-10"
"5","玉米粒(套)",2,"午餐","2015-06-10"
"6","酸辣茄条(套)",2,"午餐","2015-06-09"
"7","大米(小)",2,"午餐","2015-06-09"
"8","手撕包菜(套)",2,"午餐","2015-06-09"
"9","炒焖面",2,"午餐","2015-06-08"
"10","西红柿鸡蛋面",2,"午餐","2015-06-05"
"11","绿豆小米粥",2,"晚餐","2015-06-04"
"12","素馅饼",2,"晚餐","2015-06-04"
"13","大米(小)",2,"午餐","2015-06-03"
"14","尖椒肉丝(套)",2,"午餐","2015-06-03"
"15","手撕包菜(套)",2,"午餐","2015-06-03"
"16","炒饼丝",2,"午餐","2015-06-02"
"17","回锅肉(套)",2,"午餐","2015-06-01"
"18","红烧土豆片(套)",2,"午餐","2015-06-01"
"19","红烧土豆片(套)",2,"午餐","2015-05-29"
"20","辣子鸡块(套)",2,"午餐","2015-05-29"
"21","炒饼丝",2,"午餐","2015-05-28"
"22","大米(小)",2,"午餐","2015-05-26"
"23","西红柿炒鸡蛋(套)",2,"午餐","2015-05-26"
"24","酸辣茄条(套)",2,"午餐","2015-05-26"
"25","清炒莴笋（套）",2,"午餐","2015-05-26"
"26","大米(小)",2,"午餐","2015-05-26"
"27","西红柿炒鸡蛋(套)",2,"午餐","2015-05-26"
"28","炒饼丝",2,"午餐","2015-05-25"
"29","红烧土豆片(套)",2,"午餐","2015-05-22"
"30","红烧茄子(套)",2,"午餐","2015-05-22"
"31","炒饼丝",2,"晚餐","2015-05-20"
"32","豆花肉片(套)",2,"午餐","2015-05-15"
"33","大米",2,"午餐","2015-05-15"
"34","皮蛋瘦肉粥",2,"晚餐","2015-05-14"
"35","素馅饼",2,"晚餐","2015-05-14"
"36","回锅肉(套)",2,"午餐","2015-05-13"
"37","红烧土豆片(套)",2,"午餐","2015-05-13"
"38","皮蛋瘦肉粥",2,"晚餐","2015-05-12"
"39","夹里脊饼",2,"晚餐","2015-05-12"
"40","大米(小)",2,"午餐","2015-05-11"
"41","苜蓿肉(套)",2,"午餐","2015-05-11"
"42","土豆鸡块(套)",2,"午餐","2015-05-11"
"43","大米(小)",2,"午餐","2015-05-08"
"44","红烧肉(套)",2,"午餐","2015-05-08"
"45","大米",3,"午餐","2015-05-08"
"46","甜玉米羹",2,"晚餐","2015-05-07"
"47","素馅饼",2,"晚餐","2015-05-07"
"48","西红柿鸡蛋面",2,"午餐","2015-05-07"
"49","绿豆小米粥",2,"晚餐","2015-05-05"
"50","素馅饼",2,"晚餐","2015-05-05"
"51","清炒莴笋（套）",2,"午餐","2015-05-04"
"52","西红柿炒鸡蛋(套)",2,"午餐","2015-05-04"
"53","大米",2,"午餐","2015-05-04"
"54","尖椒肉丝(套)",2,"午餐","2015-05-04"
"55","清炒莴笋（套）",2,"午餐","2015-05-04"
"56","大米(小)",2,"午餐","2015-05-04"
"57","大米(小)",2,"午餐","2015-04-30"
"58","麻辣豆腐(套)",2,"午餐","2015-04-30"
"59","过油肉(套)",2,"午餐","2015-04-30"
"60","甜玉米羹",2,"晚餐","2015-04-29"
"61","夹肉饼",2,"晚餐","2015-04-29"
"62","西红柿鸡蛋面",2,"午餐","2015-04-29"
"63","咖喱鸡块饭",2,"午餐","2015-04-28"
"64","西红柿鸡蛋面",2,"午餐","2015-04-27"
"65","鱼香肉丝(套)",2,"午餐","2015-04-24"
"66","大米(小)",2,"午餐","2015-04-24"
"67","茴子白炒粉条(套)",2,"午餐","2015-04-24"
"68","大米(小)",2,"午餐","2015-04-23"
"69","大米(小)",2,"午餐","2015-04-23"
"70","莲菜炒肉(套)",2,"午餐","2015-04-23"
"71","辣子鸡块(套)",2,"午餐","2015-04-23"
"72","鱼香肉丝(套)",2,"午餐","2015-04-23"
"73","大米(小)",2,"午餐","2015-04-22"
"74","西红柿炒鸡蛋(套)",2,"午餐","2015-04-22"
"75","手撕包菜(套)",2,"午餐","2015-04-22"
"76","西红柿鸡蛋面",2,"午餐","2015-04-21"
"77","西红柿鸡蛋面",2,"午餐","2015-04-20"
"78","卤鸡蛋",2,"午餐","2015-04-20"
"79","大米(小)",2,"午餐","2015-04-16"
"80","西红柿炒鸡蛋(套)",2,"午餐","2015-04-16"
"81","尖椒肉丝(套)",2,"午餐","2015-04-16"
"82","大米(小)",2,"午餐","2015-04-15"
"83","西红柿炒鸡蛋(套)",2,"午餐","2015-04-15"
