"temp[, 2]",Dine
Î÷ºìÊÁ¼¦µ°Ãæ,xihongshijidanmian
´ó¹ûÁ£,daguoli
Â±¼¦µ°,lujidan
¾©½´ÈâË¿¾í±ı,jingjiangrousijuanbing
¹ûÖ­,guozhi
ÈÈ¹·Ãæ°ü,regoumianbao
³´ÂøÍ·,chaomantou
ÌğÓñÃ×¸ş,tianyumigeng
ÇÑ×Ó±ı,jiezibing
ºìÉÕÅÅ¹ÇÃæ,hongshaopaigumian
ºìÉÕÈâ(Ì×),hongshaorou-tao
ÓñÃ×Á£(Ì×),yumili-tao
´óÃ×,dami
ºìÉÕÅ£ÈâÃæ,hongshaoroumian
ÀäÒû,lengyin
ºº±¤,hanbao
Èâ°ü×Ó,roubaozi
´óÃ×(Ğ¡),dami-xiao
ºìÉÕÇÑ×Ó(Ì×),hongshaoqiezi-tao
¹¬±£¼¦¶¡(Ì×),gongbaojiding-tao
³´İ¯ÃæÓã,chaoyoumianyu
ºÚ½·ÖíÅÅ·¹,heijiaozhupaifan
¿§à¬¼¦¿é·¹,galijikuaifan
·¬ÇÑÅ£Èâ·¹,fanqieniuroufan
³´ìËÃæ,chaomenmian
µ°Ì¢,danta
ºìÉÕÍÁ¶¹¼¦¿éÃæ,hongshaotudoujikuaimian
¼¦µ°³´Ãæ,jidanchaomian
Õ¨½´Ãæ,zhajiangmian
Èâëı×ÓÃæ,rousaozimian
Ã«Ã«³æÃæ°ü,maomaochongmianbao
Æ¤µ°ÊİÈâÖà,pidanshourouzhou
¾©½´ÈâË¿Ã×·¹,jingjiangrousimifan
¶¹»¨ÈâÆ¬(Ì×),douhuaroupian-tao
ÇåÌÀÅ£ÈâÃæ,qingtangniuroumian
ÓÅËáÈé(ºĞ),yousuanru-he
Î÷ºùÂ«³´¼¦µ°(Ì×),xihuluchaojidan-tao
ÓªÑøÌ×²Í,yingyangtaocan
ÓªÑøÌ×²Í1,yingyangtaocan1
¶¹½¬,doujiang
ÍÁ¶¹¼¦¿é(Ì×),tudoujikuai-tao
Î÷ÇÛÏã¸É(Ì×),xiqinxianggan-tao
´óÅÌ¼¦Ãæ,dapanjimian
Ïã¹½ÓÍ²Ë(Ì×),xiangguyoucai-tao
´Ğ±¬Èâ(Ì×),congbaorou-tao
Èâ´®,rouchuan
¼¦¶¡³´Ã×,jidingchaomi
ÓÅÒæC,youyiC
Ğ¡Áı°ü/Èâ,xiaolongbao-rou
Ñ§ÉúÄÌ,xueshengnai
ÈÈÒû,reyin
ËØÏÚ±ı,suxianbing
¼ĞÍÁ¶¹ÌõÈâË¿±ı,jiatudoutiaorousibing
ÄªË¹Àû°²,mosilian
¼¦Èâ»ğÍÈ³¦,jirouhuotuichang
ÇÉ¿ËÁ¦µ°¸â,qiaokelidangao
µ£µ£Ãæ,dandanmian
¸ÉÕ¨Ä¢¹½(Ì×),ganzhamogu-tao
ÍÁ¶¹Ë¿(Ì×),tudousi-tao
ÓãÏãÈâË¿(Ì×),yuxiangrousi-tao
³´±ıË¿,chaobingsi
Ñ©²ËÈâË¿Ãæ,xuecairousimian
ÄÏ¹ÏĞ¡Ã×Öà,nanguaxiaomizhou
ÂÌ¶¹Ğ¡Ã×Öà,lvdouxiaomizhou
ºìÔæËáÈé,hongzaosuanru
Ì«¸ÖÆûË®,taigangqishui
ÂéÀ±¶¹¸¯(Ì×),maladoufu-tao
ºìÉÕÍÁ¶¹Æ¬(Ì×),hongshaotudoupian-tao
Ã«ÑªÍúÃæ,maoxuewangmian
ºÚÃ×Öà,heimizhou
¼Ğ»ğÍÈ±ı,jiahuotuibing
Ò¬ÈØµ°¸â,yerongdangao
ÂÌ²èµ°¸â,lvchadangao
ÜÙŞ£Èâ(Ì×),muxurou-tao
¶¹½ÇÍÁ¶¹Ìõ(Ì×),doujiaotudoutiao-tao
¼Ò³£¶¹¸¯(Ì×),jiachangdoufu-tao
ºìÉÕÅ£ÈâÍè(Ì×),hongshaoniurouwan-tao
Î÷ºìÊÁ³´¼¦µ°(Ì×),xihongshichaojidan-tao
ÓÅËáÈé(´ü),yousuanru-dai
¸É¹øÍÁ¶¹Æ¬(Ì×),ganguotudoupian-tao
¡¾Å£Èâ°åÃæ¡¿,niuroubanmian
ÍÁ¶¹Ìõ³´Ïº(Ì×),doujiaotiaochaoxia-tao
¹ıÓÍÈâ(Ì×),guoyourou-tao
Üî×Ó°×³´·ÛÌõ(Ì×),huizibaichaofentiao-tao
ËáÀ±ÇÑÌõ(Ì×),suanlaqiezi-tao
ÌÇ´×Àï¼¹(Ì×),tangculiji-tao
ÏãÀ±ÅÅ¹Ç·¹,xianglapaigufan
À±×Ó¼¦¿é(Ì×),lazijikuai
âÆâ½,hundun
»Ø¹øÈâ(Ì×),huiguorou-tao
¼â½·ÈâË¿(Ì×),jianjiaorousi-tao
²æÉÕÈâ³´Ã×,chashaorouchaomi
ÄÏ¹Ï±ı,nanguabing
¼Ğ¼¦µ°±ı,jiajidanbing
°èÌÀ,bantang
·ÛË¿²¤²Ë£¨Ì×£©,fensibocai-tao
Çå³´İ«Ëñ£¨Ì×£©,qingchaowosuan-tao
ºìÉÕ»Æ»¨Óã,hongshaohuanghuayu
ÊÖËº°ü²Ë(Ì×),shousibaocai-tao
´ó»â²Ë(Ì×),dahuicai-tao
ºìÉÕöóÓã(Ì×),hongshaonianyu-tao
ËáÀ±Ñ¼Ñª(Ì×),suanlayaxue-tao
ÆÏÌÑ¸Éµ°¸â,putaogandangao
Õ¨ÊíÌõ,zhashutiao
Èı½Çº£Ãàµ°¸â,sanjiaohaimiandangao
ÊÖ×¥±ı,shouzhuabing
Íè×ÓÌÀ,wanzitang
²æÉÕÈâ³´·¹,chashaorouchaofan
Ä¢¹½±ı,mogubing
±¬³´Ñü»¨(Ì×),baochaoyaohua-tao
ºì¶¹´óÃ×Öà,hongdoudamizhou
ÏãÀ±ÈâË¿(Ì×),xianglarousi-tao
¼ĞÀï¼¹±ı,jialijibing
Ïã¹½ÈâÆ¬(Ì×),xiangguroupian-tao
ÓãÏã¼¦µ°£¨Ì×£©,yuxiangjidan-tao
ÍÁ¶¹Ñ¼ĞØ(Ì×),tudouyaxiong-tao
É°¹øìËÃæ,shaguomenmian
Å£ÈâËÉµ°¸â,niurousongdangao
Ë¢½´±ı,shuajiangbing
²Ë»¨³´Èâ(Ì×),caihuachaorou-tao
»ÆìË¼¦Ãæ,huangmenjimian
ËØ´òÂ±Ãæ,sudalumian
¹şÀ×µ°¸â,haleidangao
¿¾³¦,kaochang
ÂéÀ±°è,malaban
¶¬¹Ï»ğÍÈ£¨Ì×£©,dongguahuotui-tao
½È×ÓÌÀ,jiaozitang
¼ĞÈâ±ı,jiaroubing
»ğÍÈ³´Ã×,huotuichaomi
¶¬¹ÏÉÕÈâ(Ì×),dongguashaorou-tao
ÌÀÃæ,tangmian
Î÷ºìÊÁ¼¦µ°ÌÀ,xihongshijidantang
¼ÓÒ»Ôª,jiayiyuan
ºÚÃ×Öà1,heimizhou1
Å£Èâ³´Ã×,niurouchaomi
´óÈâ´®,darouchuan
»ğÍÈ¾í,huotuijuan
²¤²Ë¼¦µ°±ı,bocaijidanbing
»ğÍÈÅÅ°ü,huotuimianbao
ÈÈ¸ÉÃæ,reganmian
ÏãÀ±¼¦¿é·¹,xianglajikuaifan
Õ¨´ó´®,zhadachuan
½ğµäÅ£ÄÌ,jindianniunai
ÏãÀ±Èâ½´Ãæ,xianglaroujiangmian
·ÛÌõÉÕÈâ(Ì×),fentiaoshaorou-tao
Ò¬ÈØ±ı,yerongbing
ÏãÀ±öÏÓã¾í(Ì×),xianglayouyujuan-tao
âù±¦,yibao
¼¦µ°¹à±ı,jidanguanbing
Åà¸ùÃæ°ü,peigenmianbao
¼¦µ°³´Ã×,jidanchaomi
ÓÍÌõ,youtiao
·½±ãÃæ,fangbianmian
³´İ¯Ãæ¿¾èáèá,chaoyoumiankaolaolao
¿§à¬Å£Èâ·¹,galiniuroufan
ÍÁ¶¹ºº±¤,tudouhanbao
ºÚÖ¥Âéºı,heizhimahu
Á«²Ë³´Èâ(Ì×),bocaichaorou-tao
ÍÁ¶¹Å£Èâ£¨Ì×£©,tudouniurou-tao
Ğ·ÅÅ(´®),xiepai-chuan
Ğ·°ô(´®),xiebang-chuan
ğÆğÈµ°(´®),anchundan-chuan
º£ÏÊ³´Ã×,haixianchaomi
ğÆğÈµ°Ã×Ïß,hanchundanmixian
¿¾´®,kaochuan
ÌÀÔ²,tangyuan
¼å¼¦µ°,jianjidan
250¹ÚÒæÈé,250guanyiru
³´·½±ãÃæ,chaofangbianmian
ÈıÏÊÍŞÍŞ²Ë(Ì×),sanxianwawacai-tao
Ïã¹½ÈâË¿Ãæ,xianggurousimian
°×ÌÇ±ı,baitangbing
Ïã½¶Å£ÄÌ,xiangjiaoniunai
Ñ¼ĞØ³´Ã×,yaxiongchoami
ÍõÖĞÍõ»ğÍÈ(Ğ¡),wangzhongwanghuotui-xiao
¹ÈÎïËáÄÌ,guwusuannai
Ì×²Í,taocan
¶¹É³±ı,doushabing
¶¹½ÇÈâË¿,doujiaorousi
Á¹Æ¤,liangpi
