"","Dine","Share","Type","Date"
"1","黑椒猪排饭",2,"午餐","2015-08-15"
"2","太钢汽水",3,"晚餐","2015-07-01"
"3","咖喱鸡块饭",2,"午餐","2015-06-26"
"4","牛肉松蛋糕",2,"午餐","2015-06-23"
"5","辣子鸡块(套)",2,"午餐","2015-06-18"
"6","香菇油菜(套)",2,"午餐","2015-06-18"
"7","土豆条炒虾(套)",2,"午餐","2015-06-18"
"8","大米",3,"午餐","2015-06-18"
"9","麻辣豆腐(套)",2,"午餐","2015-06-16"
"10","回锅肉(套)",2,"午餐","2015-06-16"
"11","大米",2,"午餐","2015-06-16"
"12","大米(小)",2,"午餐","2015-06-16"
"13","土豆鸡块(套)",2,"午餐","2015-06-16"
"14","豆花肉片(套)",2,"午餐","2015-06-15"
"15","豆角土豆条(套)",2,"午餐","2015-06-15"
"16","红烧茄子(套)",2,"午餐","2015-06-15"
"17","大米(小)",2,"午餐","2015-06-10"
"18","土豆条炒虾(套)",2,"午餐","2015-06-10"
"19","葱爆肉(套)",2,"午餐","2015-06-10"
"20","茴子白炒粉条(套)",2,"午餐","2015-06-10"
"21","尖椒肉丝(套)",2,"午餐","2015-06-10"
"22","大米",2,"午餐","2015-06-10"
"23","豆花肉片(套)",2,"午餐","2015-06-08"
"24","土豆条炒虾(套)",2,"午餐","2015-06-08"
"25","葱爆肉(套)",2,"午餐","2015-06-08"
"26","油条",2,"早餐","2015-05-29"
"27","方便面",2,"早餐","2015-05-29"
"28","炒莜面烤栳栳",2,"晚餐","2015-05-28"
"29","清炒莴笋（套）",2,"午餐","2015-05-28"
"30","土豆鸡块(套)",2,"午餐","2015-05-27"
"31","大米(小)",2,"午餐","2015-05-27"
"32","西葫芦炒鸡蛋(套)",2,"午餐","2015-05-27"
"33","红烧土豆片(套)",2,"午餐","2015-05-27"
"34","香辣鸡块饭",2,"午餐","2015-05-26"
"35","毛血旺面",2,"午餐","2015-05-25"
"36","【牛肉板面】",2,"午餐","2015-05-22"
"37","雪菜肉丝面",2,"午餐","2015-05-15"
"38","炒馒头",2,"午餐","2015-05-15"
"39","香辣肉酱面",2,"午餐","2015-05-15"
"40","香辣鸡块饭",2,"午餐","2015-05-14"
"41","毛血旺面",2,"午餐","2015-05-13"
"42","红烧鲶鱼(套)",2,"午餐","2015-05-11"
"43","辣子鸡块(套)",2,"午餐","2015-05-11"
"44","西葫芦炒鸡蛋(套)",2,"午餐","2015-05-11"
"45","大米",2,"午餐","2015-05-11"
"46","炸酱面",2,"午餐","2015-05-08"
"47","粉丝菠菜（套）",2,"午餐","2015-05-07"
"48","菜花炒肉(套)",2,"午餐","2015-05-07"
"49","香菇肉片(套)",2,"午餐","2015-05-07"
"50","麻辣豆腐(套)",2,"午餐","2015-05-07"
"51","咖喱牛肉饭",2,"晚餐","2015-05-05"
"52","大米(小)",2,"午餐","2015-05-05"
"53","香菇肉片(套)",2,"午餐","2015-05-05"
"54","香辣肉丝(套)",2,"午餐","2015-05-05"
"55","大米",2,"午餐","2015-05-05"
"56","土豆汉堡",2,"午餐","2015-05-04"
"57","优益C",2,"晚餐","2015-04-14"
"58","优酸乳(袋)",2,"早餐","2015-04-10"
"59","大米(小)",2,"午餐","2015-03-10"
"60","土豆鸡块(套)",2,"午餐","2015-03-10"
"61","红烧茄子(套)",2,"午餐","2015-03-10"
"62","热饮",2,"早餐","2015-03-10"
"63","素馅饼",2,"晚餐","2015-01-19"
"64","莫斯利安",2,"午餐","2015-01-16"
"65","优酸乳(袋)",2,"午餐","2015-01-05"
"66","土豆条炒虾(套)",2,"午餐","2015-01-04"
"67","红烧茄子(套)",2,"午餐","2015-01-04"
"68","大米",2,"午餐","2015-01-04"
"69","辣子鸡块(套)",2,"午餐","2014-12-19"
"70","土豆条炒虾(套)",2,"午餐","2014-12-19"
"71","大米",2,"午餐","2014-12-19"
"72","优酸乳(袋)",3,"午餐","2014-12-18"
"73","叉烧肉炒饭",3,"晚餐","2014-12-17"
"74","叉烧肉炒饭",3,"午餐","2014-12-17"
"75","黑芝麻糊",2,"晚餐","2014-12-16"
"76","皮蛋瘦肉粥",2,"晚餐","2014-12-16"
"77","南瓜小米粥",2,"晚餐","2014-12-16"
"78","优酸乳(袋)",3,"午餐","2014-12-16"
"79","莲菜炒肉(套)",2,"午餐","2014-12-16"
"80","糖醋里脊(套)",2,"午餐","2014-12-16"
"81","大米",2,"午餐","2014-12-16"
"82","干炸蘑菇(套)",2,"午餐","2014-12-16"
"83","麻辣豆腐(套)",2,"午餐","2014-12-16"
"84","糖醋里脊(套)",2,"午餐","2014-12-16"
"85","大米",2,"午餐","2014-12-16"
"86","大米",2,"午餐","2014-12-05"
"87","土豆牛肉（套）",2,"午餐","2014-12-05"
"88","鱼香肉丝(套)",2,"午餐","2014-12-05"
"89","辣子鸡块(套)",2,"午餐","2014-12-05"
"90","红烧茄子(套)",2,"午餐","2014-12-05"
"91","莫斯利安",2,"晚餐","2014-12-02"
"92","冬瓜火腿（套）",2,"午餐","2014-10-27"
"93","爆炒腰花(套)",2,"午餐","2014-10-27"
"94","香菇肉片(套)",2,"午餐","2014-10-24"
"95","大烩菜(套)",2,"午餐","2014-10-24"
"96","大米",2,"午餐","2014-10-24"
"97","优酸乳(盒)",2,"早餐","2014-10-22"
"98","夹鸡蛋饼",2,"早餐","2014-10-22"
"99","热饮",2,"早餐","2014-10-21"
"100","夹鸡蛋饼",2,"早餐","2014-10-21"
"101","皮蛋瘦肉粥",2,"晚餐","2014-09-16"
"102","夹鸡蛋饼",2,"晚餐","2014-09-16"
"103","优酸乳(袋)",2,"午餐","2014-09-15"
"104","优酸乳(袋)",2,"午餐","2014-09-15"
"105","优酸乳(袋)",2,"午餐","2014-09-15"
"106","蟹排(串)",2,"午餐","2014-09-15"
"107","蟹棒(串)",2,"午餐","2014-09-15"
"108","鹌鹑蛋(串)",2,"午餐","2014-09-15"
"109","海鲜炒米",2,"午餐","2014-09-15"
"110","鹌鹑蛋米线",2,"午餐","2014-09-15"
"111","大肉串",2,"午餐","2014-09-15"
"112","烤串",2,"午餐","2014-09-15"
"113","优酸乳(袋)",2,"早餐","2014-09-05"
"114","优酸乳(袋)",2,"早餐","2014-09-05"
"115","莲菜炒肉(套)",2,"午餐","2014-09-03"
"116","苜蓿肉(套)",2,"午餐","2014-09-03"
"117","香辣肉丝(套)",2,"午餐","2014-09-03"
"118","汤圆",2,"早餐","2014-09-03"
"119","火腿卷",2,"早餐","2014-09-03"
"120","煎鸡蛋",2,"早餐","2014-09-03"
"121","黑芝麻糊",2,"午餐","2014-09-02"
"122","热饮",2,"早餐","2014-09-02"
"123","汉堡",2,"早餐","2014-09-02"
