"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",4,"就餐类型",NA
"13","咖喱鸡块饭",2,"午餐",2015-08-10
"14","黑椒猪排饭",2,"午餐",2015-08-07
"15","红烧牛肉面",2,"晚餐",2015-08-04
"16","番茄牛肉饭",2,"午餐",2015-06-26
"17","黑椒猪排饭",2,"午餐",2015-06-24
"18","番茄牛肉饭",2,"午餐",2015-06-16
"19","黑椒猪排饭",2,"午餐",2015-06-05
"20","清汤牛肉面",2,"午餐",2015-06-02
"21","优酸乳(袋)",2,"晚餐",2015-05-27
"22","香菇肉片(套)",2,"午餐",2015-05-21
"23","优酸乳(袋)",2,"午餐",2015-05-14
"24","绿豆小米粥",2,"晚餐",2015-05-06
"25","苜蓿肉(套)",2,"午餐",2015-05-06
"26","黑椒猪排饭",2,"午餐",2015-05-06
"27","优酸乳(袋)",2,"晚餐",2015-04-28
"28","黑米粥",2,"晚餐",2015-04-28
"29","蛋挞",2,"晚餐",2015-04-28
"30","黑米粥",2,"晚餐",2015-04-27
"31","黑椒猪排饭",2,"午餐",2015-04-17
"32","黄焖鸡米饭",2,"午餐",2015-04-16
"33","优酸乳(袋)",2,"晚餐",2015-04-14
"34","黑椒猪排饭",2,"晚餐",2015-04-14
"35","热干面",2,"午餐",2015-04-13
"36","黑椒猪排饭",2,"午餐",2015-04-13
"37","黑椒猪排饭",2,"晚餐",2015-04-03
"38","黑椒猪排饭",2,"午餐",2015-04-03
"39","老干妈肉丁炒米",2,"午餐",2015-04-03
"40","黑椒猪排饭",2,"晚餐",2015-04-02
"41","黑椒猪排饭",2,"午餐",2015-04-02
"42","过油肉(套)",2,"午餐",2015-03-31
"43","大米(小)",2,"午餐",2015-03-31
"44","土豆丝(套)",2,"午餐",2015-03-31
"45","糖醋里脊(套)",2,"午餐",2015-03-31
"46","热饮",2,"晚餐",2015-03-27
"47","黑椒猪排饭",3,"晚餐",2015-03-27
"48","红豆蛋糕",2,"午餐",2015-03-23
"49","巧克力蛋糕",2,"午餐",2015-03-23
"50","热饮",3,"晚餐",2015-03-19
"51","绿豆小米粥",2,"晚餐",2015-03-19
"52","绿豆小米粥",2,"晚餐",2015-03-19
"53","香菇肉片(套)",2,"晚餐",2015-03-19
"54","大米",2,"晚餐",2015-03-19
"55","优酸乳(袋)",2,"午餐",2015-03-18
"56","优酸乳(袋)",2,"午餐",2015-03-17
"57","大米(小)",2,"午餐",2015-03-17
"58","糖醋里脊(套)",2,"午餐",2015-03-17
"59","酸辣鸭血(套)",2,"午餐",2015-03-17
"60","大肉串",2,"午餐",2015-03-16
"61","黄酱面",2,"午餐",2015-03-16
"62","牛肉烩饼",2,"晚餐",2015-03-13
"63","优酸乳(袋)",2,"午餐",2015-03-11
"64","酸辣鸭血(套)",2,"午餐",2015-03-11
"65","大米(小)",2,"午餐",2015-03-11
"66","糖醋里脊(套)",2,"午餐",2015-03-11
"67","优酸乳(袋)",2,"午餐",2015-03-10
"68","肉酱面",2,"午餐",2015-03-10
"69","炸酱面",2,"午餐",2015-03-09
"70","优酸乳(盒)",2,"午餐",2015-02-05
"71","炸小馒头(3个)",2,"早餐",2015-02-04
"72","卤鸡蛋",2,"早餐",2015-02-04
"73","牛肉烩饼",2,"午餐",2015-02-02
"74","牛肉烩饼",2,"午餐",2015-01-29
"75","优酸乳(盒)",2,"晚餐",2015-01-26
"76","素打卤面",2,"午餐",2015-01-21
"77","叉烧肉炒饭",2,"午餐",2015-01-09
"78","牛肉烩饼",3,"午餐",2015-01-08
"79","叉烧肉炒饭",2,"晚餐",2015-01-07
"80","优酸乳(盒)",2,"晚餐",2015-01-07
"81","优酸乳(袋)",2,"晚餐",2015-01-06
"82","牛肉烩饼",3,"晚餐",2015-01-05
"83","牛肉烩饼",2,"晚餐",2015-01-04
"84","优酸乳(袋)",2,"晚餐",2015-01-04
"85","优酸乳(袋)",2,"晚餐",2015-01-04
"86","优酸乳(袋)",2,"晚餐",2014-12-18
"87","肉串",5,"晚餐",2014-12-18
"88","优酸乳(袋)",2,"晚餐",2014-12-17
"89","肉香热干面",2,"晚餐",2014-12-17
"90","肉香热干面",2,"晚餐",2014-12-17
"91","叉烧肉炒饭",2,"午餐",2014-12-11
"92","砂锅炖菜（套）",2,"晚餐",2014-12-10
"93","鸡肉火腿肠",2,"午餐",2014-12-09
"94","大肉串",2,"午餐",2014-12-01
"95","优酸乳(袋)",2,"午餐",2014-12-01
"96","优酸乳(袋)",2,"晚餐",2014-11-28
"97","皮蛋瘦肉粥",2,"晚餐",2014-11-26
"98","夹肉饼",2,"晚餐",2014-11-26
"99","黄焖鸡面",2,"午餐",2014-11-25
"100","红烧茄子(套)",2,"午餐",2014-11-11
"101","优酸乳(袋)",2,"午餐",2014-11-07
"102","黄焖鸡面",3,"午餐",2014-11-07
"103","卤鸡蛋",2,"午餐",2014-11-06
"104","毛血旺面",2,"午餐",2014-11-06
"105","土豆牛肉（套）",2,"午餐",2014-10-31
"106","土豆鸡块(套)",2,"午餐",2014-10-31
"107","大米",2,"午餐",2014-10-31
"108","鸡肉火腿肠",2,"午餐",2014-10-28
"109","优酸乳(袋)",2,"午餐",2014-10-28
"110","炸酱面",2,"午餐",2014-10-28
"111","红烧牛肉面",2,"午餐",2014-10-27
