"","Dine","Share","Type","Date"
"11","",1,"",NA
"12","菜品名称",4,"就餐类型",NA
"13","红烧牛肉面",2,"午餐",2015-08-06
"14","肉臊子面",2,"午餐",2015-06-24
"15","香菇肉片(套)",2,"午餐",2015-06-23
"16","大米(小)",2,"午餐",2015-06-23
"17","大米(小)",2,"午餐",2015-06-17
"18","土豆鸡块(套)",2,"午餐",2015-06-17
"19","大米(小)",2,"午餐",2015-06-16
"20","香菇肉片(套)",2,"午餐",2015-06-16
"21","大米(小)",2,"午餐",2015-06-15
"22","土豆鸡块(套)",2,"午餐",2015-06-15
"23","肉臊子面",2,"午餐",2015-06-12
"24","优酸乳(袋)",2,"午餐",2015-06-09
"25","过油肉(套)",2,"午餐",2015-06-09
"26","大米(小)",2,"午餐",2015-06-09
"27","红烧牛肉面",2,"午餐",2015-06-08
"28","大米(小)",2,"午餐",2015-06-05
"29","鱼香肉丝(套)",2,"午餐",2015-06-05
"30","大米(小)",2,"午餐",2015-06-05
"31","鱼香肉丝(套)",2,"午餐",2015-06-05
"32","毛血旺面",2,"午餐",2015-06-04
"33","担担面",2,"午餐",2015-06-03
"34","担担面",2,"午餐",2015-06-03
"35","大米(小)",2,"午餐",2015-06-02
"36","过油肉(套)",2,"午餐",2015-06-02
"37","香辣鸡块饭",2,"午餐",2015-06-01
"38","黑椒猪排饭",2,"午餐",2015-05-29
"39","黑椒猪排饭",2,"午餐",2015-05-29
"40","大米(小)",2,"晚餐",2015-05-28
"41","过油肉(套)",2,"晚餐",2015-05-28
"42","夹土豆条肉丝饼",2,"晚餐",2015-05-27
"43","大米(小)",2,"午餐",2015-05-27
"44","糖醋里脊(套)",2,"午餐",2015-05-27
"45","炒馒头",2,"午餐",2015-05-26
"46","红烧牛肉面",2,"午餐",2015-05-25
"47","夹鸡蛋饼",2,"晚餐",2015-05-22
"48","担担面",2,"午餐",2015-05-22
"49","大米(小)",2,"午餐",2015-05-21
"50","香菇肉片(套)",2,"午餐",2015-05-21
"51","夹火腿饼",2,"晚餐",2015-05-20
"52","大米(小)",2,"午餐",2015-05-18
"53","鱼香肉丝(套)",2,"午餐",2015-05-18
"54","红烧土豆鸡块面",2,"午餐",2015-05-15
"55","汉堡",2,"晚餐",2015-05-14
"56","牛肉炒米",2,"午餐",2015-05-14
"57","夹里脊饼",2,"晚餐",2015-05-13
"58","大米(小)",2,"午餐",2015-05-13
"59","土豆条炒虾(套)",2,"午餐",2015-05-13
"60","香辣排骨饭",2,"午餐",2015-05-12
"61","大米(小)",2,"午餐",2015-05-11
"62","香菇肉片(套)",2,"午餐",2015-05-11
"63","大米(小)",2,"午餐",2015-05-08
"64","香菇肉片(套)",2,"午餐",2015-05-08
"65","汉堡",2,"晚餐",2015-05-07
"66","大米(小)",2,"午餐",2015-05-07
"67","苜蓿肉(套)",2,"午餐",2015-05-07
"68","夹土豆条肉丝饼",2,"晚餐",2015-05-06
"69","大米(小)",2,"午餐",2015-05-06
"70","土豆条炒虾(套)",2,"午餐",2015-05-06
"71","黑米粥",2,"晚餐",2015-05-04
"72","干炸蘑菇(套)",2,"午餐",2015-05-04
"73","大米(小)",2,"午餐",2015-05-04
"74","苜蓿肉(套)",2,"午餐",2015-05-04
"75","优酸乳(袋)",2,"午餐",2015-04-30
"76","汉堡",3,"晚餐",2015-04-29
"77","粉丝菠菜（套）",2,"午餐",2015-04-29
"78","大米(小)",2,"午餐",2015-04-29
"79","糖醋里脊(套)",2,"午餐",2015-04-29
"80","大米(小)",2,"午餐",2015-04-28
"81","香菇肉片(套)",2,"午餐",2015-04-28
"82","红烧牛肉面",2,"午餐",2015-04-27
"83","夹土豆条肉丝饼",2,"晚餐",2015-04-24
"84","大米(小)",2,"午餐",2015-04-24
"85","干炸蘑菇(套)",2,"午餐",2015-04-24
"86","鱼香肉丝(套)",2,"午餐",2015-04-24
"87","优酸乳(袋)",2,"晚餐",2015-04-23
"88","大米(小)",2,"午餐",2015-04-23
"89","香菇肉片(套)",2,"午餐",2015-04-23
"90","肉臊子面",2,"午餐",2015-04-22
"91","【过油肉焖面】",2,"午餐",2015-04-21
"92","香菇肉片(套)",2,"午餐",2015-04-17
"93","大米(小)",2,"午餐",2015-04-17
"94","黑椒猪排饭",2,"午餐",2015-04-16
"95","粉丝菠菜（套）",2,"午餐",2015-04-15
"96","优酸乳(袋)",2,"午餐",2015-04-14
"97","大米(小)",2,"午餐",2015-04-14
"98","香菇肉片(套)",2,"午餐",2015-04-14
"99","红烧土豆鸡块面",2,"午餐",2015-04-13
"100","火腿炒米",2,"午餐",2015-04-10
"101","巧克力蛋糕",2,"午餐",2015-04-09
"102","热饮",2,"午餐",2015-04-09
"103","汉堡",2,"晚餐",2015-04-08
"104","夹鸡蛋饼",2,"晚餐",2015-04-07
"105","黑椒猪排饭",2,"午餐",2015-04-03
"106","夹土豆条肉丝饼",2,"晚餐",2015-04-02
"107","大米(小)",2,"午餐",2015-04-02
"108","红烧茄子(套)",2,"午餐",2015-04-02
"109","红烧土豆鸡块面",2,"午餐",2015-03-31
"110","黑米粥",2,"晚餐",2015-03-30
"111","优酸乳(袋)",2,"晚餐",2015-03-27
"112","夹鸡蛋饼",2,"晚餐",2015-03-27
"113","南瓜小米粥",2,"晚餐",2015-03-27
"114","大米(小)",2,"午餐",2015-03-27
