"","Dine","Share","Type","Date"
"20","拌汤",1,"早餐",2015-06-28
"21","卤鸡蛋",1,"早餐",2015-06-28
"22","炸酱面",1,"晚餐",2015-06-24
"23","卤鸡蛋",1,"早餐",2015-06-19
"24","优酸乳(袋)",1,"早餐",2015-06-18
"25","黑米粥",1,"晚餐",2015-06-17
"26","夹肉饼",1,"晚餐",2015-06-17
"27","馄饨",1,"早餐",2015-06-17
"28","卤鸡蛋",1,"早餐",2015-06-17
"29","拌汤",1,"早餐",2015-06-16
"30","红烧土豆鸡块面",1,"午餐",2015-06-15
"31","优酸乳(袋)",1,"午餐",2015-06-09
"32","炸酱面",1,"午餐",2015-06-09
"33","炸酱面",1,"午餐",2015-06-09
"34","优酸乳(盒)",1,"早餐",2015-06-09
"35","方便面",1,"早餐",2015-06-09
"36","香辣鸡块饭",1,"午餐",2015-06-08
"37","营养套餐1",1,"早餐",2015-06-08
"38","卤鸡蛋",2,"早餐",2015-06-08
"39","太钢汽水",1,"午餐",2015-06-05
"40","香辣鸡块饭",1,"午餐",2015-06-05
"41","优酸乳(盒)",1,"早餐",2015-06-05
"42","方便面(串)",1,"早餐",2015-06-05
"43","热饮",1,"午餐",2015-06-04
"44","优酸乳(袋)",1,"午餐",2015-06-04
"45","红烧牛肉面",1,"午餐",2015-06-04
"46","优酸乳(盒)",1,"早餐",2015-06-04
"47","鸡肉火腿肠",1,"晚餐",2015-06-03
"48","优酸乳(袋)",1,"晚餐",2015-06-03
"49","香辣鸡块饭",1,"晚餐",2015-06-03
"50","优酸乳(盒)",1,"早餐",2015-06-03
"51","方便面",1,"早餐",2015-06-03
"52","大米",1,"午餐",2015-06-02
"53","干锅土豆片(套)",1,"午餐",2015-06-02
"54","家常豆腐(套)",1,"午餐",2015-06-02
"55","营养套餐1",1,"早餐",2015-06-02
"56","卤鸡蛋",2,"早餐",2015-06-02
"57","香辣鸡块饭",1,"午餐",2015-06-01
"58","优酸乳(袋)",1,"午餐",2015-05-28
"59","热干面",1,"午餐",2015-05-28
"60","优酸乳(袋)",1,"早餐",2015-05-28
"61","方便面",1,"早餐",2015-05-28
"62","优酸乳(袋)",1,"晚餐",2015-05-27
"63","香辣鸡块饭",1,"晚餐",2015-05-27
"64","干锅土豆片(套)",1,"午餐",2015-05-27
"65","家常豆腐(套)",1,"午餐",2015-05-27
"66","大米",1,"午餐",2015-05-27
"67","热饮",1,"晚餐",2015-05-26
"68","香辣鸡块饭",1,"晚餐",2015-05-26
"69","热饮",2,"午餐",2015-05-26
"70","大米",1,"午餐",2015-05-26
"71","干锅土豆片(套)",1,"午餐",2015-05-26
"72","家常豆腐(套)",1,"午餐",2015-05-26
"73","优酸乳(袋)",1,"早餐",2015-05-26
"74","香辣鸡块饭",1,"午餐",2015-05-25
"75","南瓜小米粥",1,"早餐",2015-05-25
"76","夹鸡蛋饼",1,"早餐",2015-05-25
"77","豆浆",1,"早餐",2015-05-25
"78","卤鸡蛋",2,"早餐",2015-05-25
"79","鸡肉火腿肠",1,"晚餐",2015-05-22
"80","热饮",1,"晚餐",2015-05-22
"81","苜蓿肉(套)",1,"晚餐",2015-05-22
"82","茴子白炒粉条(套)",1,"晚餐",2015-05-22
"83","大米",1,"晚餐",2015-05-22
"84","香辣鸡块饭",1,"午餐",2015-05-22
"85","方便面",1,"早餐",2015-05-22
"86","腐竹烧肉(套)",1,"午餐",2015-05-21
"87","手撕包菜(套)",1,"午餐",2015-05-21
"88","大米",1,"午餐",2015-05-21
"89","营养套餐1",1,"早餐",2015-05-21
"90","卤鸡蛋",2,"早餐",2015-05-21
"91","热饮",1,"晚餐",2015-05-20
"92","优酸乳(盒)",1,"晚餐",2015-05-20
"93","炸酱面",1,"晚餐",2015-05-20
"94","热饮",1,"午餐",2015-05-15
"95","炸酱面",1,"午餐",2015-05-15
"96","西红柿鸡蛋汤",1,"早餐",2015-05-15
"97","土豆丝",1,"早餐",2015-05-15
"98","卤鸡蛋",1,"早餐",2015-05-15
"99","热饮",1,"晚餐",2015-05-14
"100","香辣鸡块饭",1,"晚餐",2015-05-14
"101","卤鸡蛋",1,"早餐",2015-05-14
"102","营养套餐",1,"早餐",2015-05-14
"103","鸡肉火腿肠",1,"晚餐",2015-05-13
"104","热饮",1,"晚餐",2015-05-13
"105","担担面",1,"晚餐",2015-05-13
"106","卤鸡蛋",1,"早餐",2015-05-13
"107","方便面",1,"早餐",2015-05-13
"108","辣子鸡块(套)",1,"午餐",2015-05-12
"109","土豆丝(套)",1,"午餐",2015-05-12
"110","大米",1,"午餐",2015-05-12
"111","莲菜炒肉(套)",1,"午餐",2015-05-12
"112","红烧鲶鱼(套)",1,"午餐",2015-05-12
"113","方便面",1,"早餐",2015-05-12
"114","热饮",1,"晚餐",2015-05-11
"115","叉烧肉炒饭",1,"晚餐",2015-05-11
"116","牛肉松蛋糕",1,"午餐",2015-05-11
"117","京酱肉丝米饭",1,"午餐",2015-05-11
"118","优酸乳(盒)",1,"早餐",2015-05-11
"119","汤面",1,"早餐",2015-05-08
"120","拌汤",1,"早餐",2015-05-08
"121","香辣排骨饭",1,"晚餐",2015-05-07
"122","热饮",1,"午餐",2015-05-07
"123","糖醋里脊(套)",1,"午餐",2015-05-07
"124","大米",1,"午餐",2015-05-07
"125","豆角肉丝",1,"午餐",2015-05-07
"126","大米(小)",1,"午餐",2015-05-07
