"","X","Dine","Share","Type","Date"
"1",11,"",1,"",NA
"2",12,"菜品名称",4,"就餐类型",NA
"3",13,"卤鸡蛋",2,"晚餐","2015-08-04"
"4",14,"红烧牛肉面",2,"晚餐","2015-08-04"
"5",15,"优酸乳(袋)",2,"午餐","2015-07-01"
"6",16,"优酸乳(袋)",2,"午餐","2015-06-29"
"7",17,"优酸乳(袋)",2,"晚餐","2015-06-25"
"8",18,"大盘鸡面",2,"晚餐","2015-06-25"
"9",19,"冷饮",2,"晚餐","2015-06-24"
"10",20,"红烧牛肉面",2,"晚餐","2015-06-24"
"11",21,"豆角土豆条(套)",2,"午餐","2015-06-23"
"12",22,"玉米粒(套)",2,"午餐","2015-06-23"
"13",23,"大米",2,"午餐","2015-06-23"
"14",24,"优酸乳(袋)",2,"晚餐","2015-06-18"
"15",25,"红烧牛肉面",2,"午餐","2015-06-18"
"16",26,"优酸乳(袋)",2,"晚餐","2015-06-17"
"17",27,"鸡肉火腿肠",2,"午餐","2015-06-17"
"18",28,"黑米粥",2,"晚餐","2015-06-16"
"19",29,"夹里脊饼",2,"晚餐","2015-06-16"
"20",30,"优酸乳(袋)",2,"午餐","2015-06-16"
"21",31,"黄焖鸡块面",2,"晚餐","2015-06-09"
"22",32,"优酸乳(袋)",2,"午餐","2015-06-09"
"23",33,"辣子鸡块(套)",2,"午餐","2015-06-09"
"24",34,"土豆鸡块(套)",2,"午餐","2015-06-09"
"25",35,"大米",2,"午餐","2015-06-09"
"26",36,"鸡肉火腿肠",2,"晚餐","2015-06-08"
"27",37,"红烧牛肉面",2,"晚餐","2015-06-08"
"28",38,"黄焖鸡面",2,"午餐","2015-06-08"
"29",39,"红烧牛肉面",2,"晚餐","2015-06-05"
"30",40,"粉条烧肉(套)",2,"午餐","2015-06-05"
"31",41,"家常豆腐(套)",2,"午餐","2015-06-05"
"32",42,"酸辣茄条(套)",2,"午餐","2015-06-05"
"33",43,"优酸乳(袋)",2,"晚餐","2015-06-04"
"34",44,"黑椒猪排饭",2,"晚餐","2015-06-04"
"35",45,"优酸乳(袋)",2,"午餐","2015-06-04"
"36",46,"香辣肉酱面",2,"午餐","2015-06-04"
"37",47,"皮蛋瘦肉粥",2,"晚餐","2015-06-03"
"38",48,"鸡肉火腿肠",2,"午餐","2015-06-03"
"39",49,"红烧黄花鱼",2,"午餐","2015-06-03"
"40",50,"土豆鸡块(套)",2,"午餐","2015-06-03"
"41",51,"大米",2,"午餐","2015-06-03"
"42",52,"优酸乳(袋)",2,"晚餐","2015-06-02"
"43",53,"清汤牛肉面",2,"晚餐","2015-06-02"
"44",54,"黄焖鸡面",2,"午餐","2015-06-02"
"45",55,"优酸乳(袋)",2,"晚餐","2015-06-01"
"46",56,"红烧牛肉面",2,"晚餐","2015-06-01"
"47",57,"太钢汽水",2,"午餐","2015-06-01"
"48",58,"西红柿炒鸡蛋(套)",2,"午餐","2015-06-01"
"49",59,"腐竹烧肉(套)",2,"午餐","2015-06-01"
"50",60,"大米",2,"午餐","2015-06-01"
"51",61,"黄焖鸡面",2,"晚餐","2015-05-29"
"52",62,"苜蓿肉(套)",2,"午餐","2015-05-29"
"53",63,"西葫芦炒鸡蛋(套)",2,"午餐","2015-05-29"
"54",64,"香辣鸡块饭",2,"午餐","2015-05-28"
"55",65,"大盘鸡面",2,"晚餐","2015-05-27"
"56",66,"刷酱饼",2,"晚餐","2015-05-27"
"57",67,"银耳雪梨汤",2,"晚餐","2015-05-27"
"58",68,"香辣肉酱面",2,"午餐","2015-05-27"
"59",69,"优酸乳(袋)",2,"晚餐","2015-05-26"
"60",70,"香辣鸡块饭",2,"晚餐","2015-05-26"
"61",71,"黑米粥",2,"晚餐","2015-05-26"
"62",72,"夹火腿饼",2,"晚餐","2015-05-26"
"63",73,"热饮",2,"午餐","2015-05-26"
"64",74,"红烧肉(套)",2,"午餐","2015-05-26"
"65",75,"手撕包菜(套)",2,"午餐","2015-05-26"
"66",76,"大米",2,"午餐","2015-05-26"
"67",77,"黄焖鸡面",2,"晚餐","2015-05-25"
"68",78,"黄焖鸡面",2,"午餐","2015-05-25"
"69",79,"香辣鸡块饭",2,"晚餐","2015-05-22"
"70",80,"黄焖鸡面",2,"午餐","2015-05-22"
"71",81,"香菇肉丁面",2,"晚餐","2015-05-21"
"72",82,"土豆鸡块(套)",2,"午餐","2015-05-21"
"73",83,"菜花炒肉(套)",2,"午餐","2015-05-21"
"74",84,"大米(小)",2,"午餐","2015-05-21"
"75",85,"【牛肉板面】",2,"晚餐","2015-05-20"
"76",86,"黑椒猪排饭",2,"午餐","2015-05-18"
"77",87,"大米(小)",2,"午餐","2015-05-18"
"78",88,"红烧牛肉丸(套)",2,"午餐","2015-05-18"
"79",89,"酸辣茄条(套)",2,"午餐","2015-05-18"
"80",90,"大米",2,"午餐","2015-05-18"
"81",91,"香辣肉酱面",2,"午餐","2015-05-18"
"82",92,"香辣肉酱面",2,"午餐","2015-05-18"
"83",93,"【牛肉板面】",2,"晚餐","2015-05-14"
"84",94,"香辣肉酱面",3,"午餐","2015-05-14"
"85",95,"优酸乳(袋)",2,"晚餐","2015-05-13"
"86",96,"【牛肉板面】",2,"晚餐","2015-05-13"
"87",97,"优酸乳(袋)",2,"午餐","2015-05-13"
"88",98,"玉米粒(套)",2,"午餐","2015-05-13"
"89",99,"手撕包菜(套)",2,"午餐","2015-05-13"
"90",100,"大米",2,"午餐","2015-05-13"
"91",101,"红枣酸乳",2,"晚餐","2015-05-12"
"92",102,"【过油肉焖面】",2,"晚餐","2015-05-12"
"93",103,"大盘鸡面",2,"晚餐","2015-05-12"
"94",104,"优酸乳(袋)",2,"午餐","2015-05-11"
"95",105,"香辣肉酱面",2,"午餐","2015-05-11"
"96",106,"香辣肉酱面",2,"晚餐","2015-05-08"
"97",107,"优酸乳(袋)",2,"午餐","2015-05-08"
"98",108,"豆角肉丝",2,"午餐","2015-05-08"
"99",109,"家常豆腐(套)",2,"午餐","2015-05-08"
"100",110,"大米",2,"午餐","2015-05-08"
"101",111,"香辣排骨饭",2,"晚餐","2015-05-07"
"102",112,"咖喱牛肉饭",2,"晚餐","2015-05-06"
"103",113,"叉烧肉炒饭",2,"晚餐","2015-05-05"
"104",114,"红枣酸乳",2,"午餐","2015-05-05"
"105",115,"毛血旺面",2,"晚餐","2015-05-04"
"106",116,"黑椒猪排饭",2,"晚餐","2015-05-04"
"107",117,"优酸乳(袋)",2,"晚餐","2015-04-29"
"108",118,"红烧牛肉面",2,"晚餐","2015-04-29"
"109",119,"优酸乳(袋)",2,"午餐","2015-04-29"
"110",120,"红烧肉(套)",2,"午餐","2015-04-29"
"111",121,"干锅土豆片(套)",2,"午餐","2015-04-29"
"112",122,"大米",2,"午餐","2015-04-29"
"113",123,"大米",2,"晚餐","2015-04-28"
"114",124,"土豆鸡块(套)",2,"晚餐","2015-04-28"
"115",125,"糖醋里脊(套)",2,"晚餐","2015-04-28"
"116",126,"优酸乳(袋)",2,"午餐","2015-04-28"
"117",127,"肉酱面",2,"午餐","2015-04-28"
"118",128,"冷饮",2,"晚餐","2015-04-27"
"119",129,"【牛肉板面】",2,"晚餐","2015-04-27"
"120",130,"优酸乳(袋)",2,"午餐","2015-04-27"
"121",131,"肉酱面",2,"午餐","2015-04-27"
"122",132,"叉烧肉炒饭",2,"晚餐","2015-04-24"
"123",133,"肉酱面",2,"午餐","2015-04-24"
"124",134,"红烧牛肉面",2,"晚餐","2015-04-23"
"125",135,"辣子鸡块(套)",2,"午餐","2015-04-23"
"126",136,"红烧茄子(套)",2,"午餐","2015-04-23"
"127",137,"大米",2,"午餐","2015-04-23"
"128",138,"优酸乳(袋)",2,"午餐","2015-04-22"
"129",139,"肉酱面",2,"午餐","2015-04-22"
"130",140,"优酸乳(袋)",2,"午餐","2015-04-21"
"131",141,"肉酱面",2,"午餐","2015-04-21"
"132",142,"鱼香肉丝(套)",2,"午餐","2015-04-20"
"133",143,"大米",2,"午餐","2015-04-20"
"134",144,"辣子鸡块(套)",2,"午餐","2015-04-20"
"135",145,"【牛肉板面】",2,"晚餐","2015-04-17"
"136",146,"优酸乳(袋)",2,"晚餐","2015-04-16"
"137",147,"黄焖鸡米饭",2,"晚餐","2015-04-16"
"138",148,"黑椒猪排饭",2,"晚餐","2015-04-16"
"139",149,"优酸乳(袋)",2,"午餐","2015-04-16"
"140",150,"家常豆腐(套)",2,"午餐","2015-04-16"
"141",151,"酸辣茄条(套)",2,"午餐","2015-04-16"
"142",152,"大米",2,"午餐","2015-04-16"
"143",153,"糖醋里脊(套)",2,"午餐","2015-04-16"
"144",154,"干锅土豆片(套)",2,"午餐","2015-04-16"
"145",155,"大米",2,"午餐","2015-04-16"
"146",156,"优酸乳(袋)",2,"晚餐","2015-04-15"
"147",157,"【牛肉板面】",2,"晚餐","2015-04-15"
"148",158,"红烧排骨面",2,"晚餐","2015-04-15"
"149",159,"优酸乳(袋)",2,"午餐","2015-04-15"
"150",160,"优酸乳(袋)",2,"晚餐","2015-04-14"
"151",161,"【牛肉板面】",2,"晚餐","2015-04-14"
"152",162,"红烧牛肉面",2,"晚餐","2015-04-14"
"153",163,"优酸乳(袋)",2,"晚餐","2015-04-13"
